Metric A,Normality A,P-value A,Metric B,Normality B,P-value B,Correlation,Correlation Value,P-value Correlation
contributors,False,1.971e-42,watchers,False,3.087e-43,spearman,0.479,7.382e-60
contributors,False,1.971e-42,stars,False,1.208e-45,spearman,0.425,5.385e-46
contributors,False,1.971e-42,forks,False,1.718e-46,spearman,0.606,1.399e-103
size,False,4.396e-45,watchers,False,3.087e-43,spearman,0.110,4.255e-04
size,False,4.396e-45,stars,False,1.208e-45,spearman,0.051,1.061e-01
size,False,4.396e-45,forks,False,1.718e-46,spearman,0.117,1.695e-04
open_issues,False,1.985e-40,watchers,False,3.087e-43,spearman,0.436,1.375e-48
open_issues,False,1.985e-40,stars,False,1.208e-45,spearman,0.428,6.954e-47
open_issues,False,1.985e-40,forks,False,1.718e-46,spearman,0.485,2.115e-61
pull_requests,False,7.009e-46,watchers,False,3.087e-43,spearman,0.416,5.963e-44
pull_requests,False,7.009e-46,stars,False,1.208e-45,spearman,0.372,5.621e-35
pull_requests,False,7.009e-46,forks,False,1.718e-46,spearman,0.538,9.357e-78
releases,False,2.912e-48,watchers,False,3.087e-43,spearman,0.178,9.737e-09
releases,False,2.912e-48,stars,False,1.208e-45,spearman,0.242,3.887e-15
releases,False,2.912e-48,forks,False,1.718e-46,spearman,0.232,5.383e-14
commits,False,2.337e-40,watchers,False,3.087e-43,spearman,0.244,2.334e-15
commits,False,2.337e-40,stars,False,1.208e-45,spearman,0.159,3.392e-07
commits,False,2.337e-40,forks,False,1.718e-46,spearman,0.248,9.521e-16
events,False,6.162e-30,watchers,False,3.087e-43,spearman,0.240,6.618e-15
events,False,6.162e-30,stars,False,1.208e-45,spearman,0.409,2.125e-42
events,False,6.162e-30,forks,False,1.718e-46,spearman,0.401,1.150e-40
average_time_close_pull_requests_first_100,False,2.346e-29,watchers,False,3.087e-43,spearman,0.091,3.566e-03
average_time_close_pull_requests_first_100,False,2.346e-29,stars,False,1.208e-45,spearman,0.004,9.043e-01
average_time_close_pull_requests_first_100,False,2.346e-29,forks,False,1.718e-46,spearman,0.101,1.228e-03
average_time_close_pull_requests_last_100,False,2.801e-29,watchers,False,3.087e-43,spearman,0.088,4.653e-03
average_time_close_pull_requests_last_100,False,2.801e-29,stars,False,1.208e-45,spearman,0.001,9.646e-01
average_time_close_pull_requests_last_100,False,2.801e-29,forks,False,1.718e-46,spearman,0.097,1.827e-03
average_time_close_issues_first_100,False,8.755e-35,watchers,False,3.087e-43,spearman,-0.141,6.024e-06
average_time_close_issues_first_100,False,8.755e-35,stars,False,1.208e-45,spearman,-0.150,1.470e-06
average_time_close_issues_first_100,False,8.755e-35,forks,False,1.718e-46,spearman,-0.141,5.817e-06
average_time_close_issues_last_100,False,8.114e-39,watchers,False,3.087e-43,spearman,-0.294,9.133e-22
average_time_close_issues_last_100,False,8.114e-39,stars,False,1.208e-45,spearman,-0.327,6.447e-27
average_time_close_issues_last_100,False,8.114e-39,forks,False,1.718e-46,spearman,-0.346,4.218e-30
frequency_commits_first_100,False,5.027e-41,watchers,False,3.087e-43,spearman,-0.157,4.929e-07
frequency_commits_first_100,False,5.027e-41,stars,False,1.208e-45,spearman,-0.127,4.433e-05
frequency_commits_first_100,False,5.027e-41,forks,False,1.718e-46,spearman,-0.113,2.875e-04
frequency_commits_last_100,False,3.714e-30,watchers,False,3.087e-43,spearman,-0.088,4.893e-03
frequency_commits_last_100,False,3.714e-30,stars,False,1.208e-45,spearman,-0.155,6.821e-07
frequency_commits_last_100,False,3.714e-30,forks,False,1.718e-46,spearman,-0.174,2.079e-08
frequency_events_last_100,False,1.417e-39,watchers,False,3.087e-43,spearman,-0.266,5.853e-18
frequency_events_last_100,False,1.417e-39,stars,False,1.208e-45,spearman,-0.433,4.755e-48
frequency_events_last_100,False,1.417e-39,forks,False,1.718e-46,spearman,-0.436,1.288e-48
creation_date,False,5.364e-13,watchers,False,3.087e-43,spearman,-0.231,8.202e-14
creation_date,False,5.364e-13,stars,False,1.208e-45,spearman,0.028,3.704e-01
creation_date,False,5.364e-13,forks,False,1.718e-46,spearman,-0.111,3.882e-04
