contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
376,168,1136,6534,120294,430,36,45,10918,256,378076995.3,378076995.3,123982597.0,1512944.49,6688.53,299063.33,3145.49,1298678400.0
100,55,135,1070,47261,152,2,43,8185,277,365353472.5,365353472.5,11052513.85,2977906.48,13569.27,8722.4,11200.29,1288656000.0
61,23,80,462,95887,253,6,13,11980,261,364167804.5,364167804.5,107624376.1,4406115.45,11556.26,91515.26,29865.69,1455408000.0
371,63,415,798,183811,233,15,37,18491,289,362290048.7,362290048.7,33964459.35,1153691.93,48185.34,9533.58,1168.13,1525305600.0
190,56,323,4618,37768,404,4,18,11812,277,357978649.3,357978649.3,9522902.09,2107292.29,50173.82,157424.05,12438.62,1517616000.0
123,120,459,1818,63889,151,17,22,1535,285,357117610.2,357117610.2,145298670.7,10960504.8,53378.09,429242.07,34049.36,1279065600.0
56,30,336,1345,158795,18,1,97,1371,212,351578269.0,351578269.0,81618988.22,81618988.22,91008.1,465665.56,16261.44,1531612800.0
59,34,130,530,34755,48,4,9,3188,21,350551981.8,350551981.8,111675858.6,111675858.6,267925.66,744196.42,255761.0952,1377561600.0
253,86,569,1102,26607,394,9,13,4125,261,345982061.4,345982061.4,34757090.97,1207252.06,96725.79,112250.35,2983.99,1447200000.0
85,93,204,598,62645,116,2,73,7648,272,345802204.0,345802204.0,37827125.62,1256231.4,49144.85,50834.54,11883.29,1373932800.0
212,352,1231,6579,181579,159,5,85,17610,289,344970670.4,344970670.4,18105618.65,1726365.57,52640.74,29557.86,2946.84,1341532800.0
36,44,86,461,22222,458,12,4,3176,35,344403547.3,344403547.3,6726445.19,6499823.98,162121.52,200814.29,218236.0857,1404777600.0
147,145,313,947,400701,161,4,1,7166,8,338749081.0,338749081.0,8947650.36,28618373.43,7264.37,796080.01,949559.875,1302220800.0
148,58,169,1025,108739,214,33,72,22316,208,337786198.7,337786198.7,37618898.42,2448146.2,241394.02,159359.09,35497.18,1308355200.0
37,69,239,868,420127,229,5,220,9213,293,336074352.8,336074352.8,33232333.17,965301.29,91503.07,5052.89,5193.44,1416960000.0
127,145,891,1709,74277,186,18,5,13853,297,333784227.8,333784227.8,22554947.36,4901596.15,141559.57,54589.68,26523.68,1362355200.0
133,357,3894,15256,112564,161,17,5,4928,265,327149965.5,327149965.5,10401905.05,386363.72,324150.09,18952.42,2368.56,1413072000.0
57,116,660,8035,27692,488,13,52,9258,292,325069108.6,325069108.6,11943147.27,2012517.59,58742.39,45884.34,3080.42,1513123200.0
200,63,506,2377,13485,44,9,88,4835,241,323230648.7,323230648.7,99177711.5,99177711.5,4827.93,191901.96,14290.53,1262736000.0
63,80,432,2213,18598,34,5,17,1016,167,316121182.0,316121182.0,141300069.1,141300069.1,722795.65,913712.48,47842.15,1347667200.0
30,46,198,443,94158,36,1,27,190,24,311349922.0,311349922.0,4040812.444,4040812.444,1227058.78,970308.22,307881.375,1515369600.0
664,202,1580,13773,239777,1542,39,45,27565,250,308025581.6,308025581.6,6489662.97,2748199.17,23025.18,21573.54,2111.27,1396310400.0
36,31,82,388,356566,121,7,1,3975,102,306999926.0,306999926.0,29226704.1,21287103.22,20981.54,808016.42,71039.2,1367539200.0
92,69,187,1028,32498,53,2,49,9515,45,306839237.0,306839237.0,102100373.5,102100373.5,206699.15,271960.94,171620.0,1371686400.0
48,28,180,891,22618,18,1,17,5856,172,305344819.0,305344819.0,138403452.9,138403452.9,127827.04,109429.16,51480.76,1559606400.0
178,40,160,1364,51477,184,3,21,13648,276,305209842.0,305209842.0,18389942.68,301105.71,19872.07,30190.66,4840.51,1568419200.0
81,42,347,1110,71699,237,7,14,4013,14,302415179.9,302415179.9,47908035.16,4412464.22,10237.29,1045161.42,409481.2143,1387324800.0
230,114,562,2617,160994,144,14,72,22050,254,300728258.1,300728258.1,6130005.93,1506685.52,69913.23,61735.08,8266.06,1371945600.0
182,185,1068,1616,34042,179,55,7,4004,270,299059627.5,299059627.5,5882320.81,6833431.66,23023.68,188045.75,18093.94,1372636800.0
55,140,573,3753,55859,124,2,15,1873,226,297979255.5,297979255.5,8174479.62,1528830.15,186720.43,273720.13,32614.77,1506902400.0
146,183,615,2677,65543,358,26,23,11685,276,297919196.6,297919196.6,58915618.66,28009598.23,341226.27,37565.0,18044.71,1318377600.0
19,29,99,494,43072,9,1,1,7385,75,297234566.0,297234566.0,130616520.8,130616520.8,100125.04,47069.91,103503.44,1421107200.0
148,145,653,2325,18123,114,11,2,6407,8,293980768.5,293980768.5,8604329.66,1905682.26,67651.17,210631.44,677807.25,1364947200.0
21,104,68,1020,18996,24,1,15,4026,201,293168632.0,293168632.0,91662213.21,91662213.21,120625.17,53805.44,44541.18,1454025600.0
54,49,124,410,71431,264,3,25,7787,292,292574945.3,292574945.3,33104752.88,3171737.41,29348.38,229491.23,38179.11,1540166400.0
52,85,254,1069,15868,36,3,35,1995,48,289878535.3,289878535.3,49407762.64,49407762.64,127109.9,977972.94,150029.7292,1404172800.0
202,223,3459,6540,49039,415,34,27,8696,240,289777849.4,289777849.4,14100607.46,4700131.79,75280.7,216839.86,10017.99,1316649600.0
200,213,2221,3325,482390,380,16,358,15640,296,289718391.9,289718391.9,12405456.16,2083640.36,219445.36,16311.9,7753.87,1441670400.0
212,819,3163,18534,53231,88,2,245,12993,280,289117538.5,289117538.5,93921775.01,93921775.01,296251.38,72751.2,7760.42,1342828800.0
39,43,183,926,18950,91,1,79,3378,234,288537249.0,288537249.0,63814150.33,63814150.33,233414.04,28752.47,16815.53,1411516800.0
159,75,445,1434,920762,865,48,12,9779,256,283732895.5,283732895.5,43820309.63,2216131.28,24804.87,30273.0,6193.42,1426809600.0
329,120,858,3149,77039,345,17,44,5186,277,281443386.5,281443386.5,25725809.15,2836677.73,152851.05,138211.46,15965.94,1435190400.0
260,132,608,2014,189107,126,19,118,6117,299,280773858.4,280773858.4,85292291.92,3578005.04,63739.52,88985.94,6050.04,1296604800.0
60,58,166,1765,11298,70,4,7,907,268,279898558.5,279898558.5,28715874.23,28715874.23,40334.51,250532.55,16703.71,1382227200.0
82,48,187,694,89345,168,4,73,15518,288,279764466.3,279764466.3,20766926.42,1597321.3,28041.36,37693.93,9282.0,1389225600.0
172,50,190,762,695567,289,14,54,28402,293,279701636.8,279701636.8,50325832.96,5987978.75,29246.3,172733.18,40055.33,1435708800.0
17,38,45,539,38164,45,1,6,2335,58,278130432.0,278130432.0,44330889.73,44330889.73,64500.99,482127.34,120053.2586,1572480000.0
18,25,92,602,14701,20,1,60,2374,73,276594741.0,276594741.0,103762939.4,103762939.4,75829.21,636836.96,104482.9178,1534464000.0
